Sample_ID,Core_ID,Date_collected,Area,Site,Plot_num,Plot_ID,Horizon,Depth_1_cm,Depth_2_cm,Depth_3_cm,Depth_4_cm,Average_Depth_cm,Paper_bag_weights_g,bag_wetcoreweight_g,wet_core_weight,dry_weight_of_core_and_bag_g,dry_core_weight_g,soil_bulk_density_g_cm3,grav_moist_perc,grav_water_gh20_per_gdrysoil,
20210731-W-M2_O1,20210731-W-M2,31-Jul-21,West,Mesic,2,W-M2,O1,10.0,10.5,10.0,10.0,10.1,1.4,91.8,90.4,,,,,,
20210731-W-M2_O2,20210731-W-M2,31-Jul-21,West,Mesic,2,W-M2,O2,10.5,10.5,11.0,10.0,10.5,1.4,178.5,177.1,,,,,,
20210731-W-M3_O1,20210731-W-M3,31-Jul-21,West,Mesic,3,W-M3,O1,7.5,8.5,9.0,9.5,8.6,1.4,57.9,56.5,,,,,,
20210731-W-M3_O2,20210731-W-M3,31-Jul-21,West,Mesic,3,W-M3,O2,13.0,12.0,11.0,10.5,11.6,1.4,182.3,180.9,,,,,,
20210731-W-H1_O1,20210731-W-H1,31-Jul-21,West,Hydric,1,W-H1,O1,9.5,9.0,9.0,9.0,9.1,1.4,139.5,138.1,,,,,,
20210731-W-H1_O2,20210731-W-H1,31-Jul-21,West,Hydric,1,W-H1,O2,9.0,8.0,6.5,8.5,8.0,1.4,151.3,149.9,,,,,,
20210731-W-H2_O1,20210731-W-H2,31-Jul-21,West,Hydric,2,W-H2,O1,9.5,9.0,8.5,9.5,9.1,1.4,119.2,117.8,,,,,,
20210731-W-H2_O2,20210731-W-H2,31-Jul-21,West,Hydric,2,W-H2,O2,11.0,9.5,11.0,9.0,10.1,1.4,162.4,161.0,,,,,,
20210731-W-H3_O1,20210731-W-H3,31-Jul-21,West,Hydric,3,W-H3,O1,8.0,7.0,8.5,9.0,8.1,1.4,59.4,58.0,,,,,,
20210731-W-H3_O2,20210731-W-H3,31-Jul-21,West,Hydric,3,W-H3,O2,6.0,7.5,8.0,6.0,6.9,1.4,81.0,79.6,,,,,,
20210807-E-D1_O1,20210807-E-D1,7-Aug-21,East,Dry,1,E-D1,O1,9.0,10.0,10.0,9.5,9.6,1.4,44.8,43.4,,,,,,
20210807-E-D1_O2,20210807-E-D1,7-Aug-21,East,Dry,1,E-D1,O2,8.5,7.5,9.0,10.0,8.8,1.5,127.6,126.1,,,,,,
20210807-E-D2_O,20210807-E-D2,7-Aug-21,East,Dry,2,E-D2,O,7.5,7.5,7.5,7.5,7.5,1.4,17.3,15.9,5.57,4.17,0.03,73.8,2.81,
20210807-E-D2_M,20210807-E-D2,7-Aug-21,East,Dry,2,E-D2,M,13.5,11.0,12.5,12.5,12.4,1.4,208.8,207.4,105.43,104.03,0.43,49.8,0.99,
20210807-E-D3_O1,20210807-E-D3,7-Aug-21,East,Dry,3,E-D3,O1,12.0,11.5,11.5,12.0,11.8,1.4,45.0,43.6,8.49,7.09,0.03,83.7,5.15,
20210807-E-D3_O2,20210807-E-D3,7-Aug-21,East,Dry,3,E-D3,O2,7.5,7.5,8.5,9.0,8.1,1.4,142.6,141.2,54.14,52.74,0.33,62.6,1.68,
20210807-E-M1_O,20210807-E-M1,7-Aug-21,East,Mesic,1,E-M1,O,3.5,4.0,3.5,3.5,3.6,1.4,19.1,17.7,6.66,5.26,0.07,70.3,2.37,
20210807-E-M1_M1,20210807-E-M1,7-Aug-21,East,Mesic,1,E-M1,M1,3.5,3.5,3.5,4.0,3.6,1.4,92.6,91.2,71.84,70.44,0.99,22.8,0.29,
20210807-E-M1_M2,20210807-E-M1,7-Aug-21,East,Mesic,1,E-M1,M2,9.0,5.5,10.0,10.0,8.6,1.4,272.2,270.8,218.70,217.30,1.28,19.8,0.25,
20210807-E-M2_O1,20210807-E-M2,7-Aug-21,East,Mesic,2,E-M2,O1,8.5,9.5,9.5,8.5,9.0,1.4,41.3,39.9,,,,,,
20210807-E-M2_O2,20210807-E-M2,7-Aug-21,East,Mesic,2,E-M2,O2,6.0,6.5,5.0,5.5,5.8,1.4,55.0,53.6,,,,,,
20210807-E-M3_O,20210807-E-M3,7-Aug-21,East,Mesic,3,E-M3,O,4.5,5.5,6.0,5.5,5.4,1.4,29.7,28.3,8.03,6.63,0.06,76.6,3.27,
20210807-E-M3_M,20210807-E-M3,7-Aug-21,East,Mesic,3,E-M3,M,10.0,11.0,12.0,11.5,11.1,1.4,290.9,289.5,198.98,197.58,0.90,31.8,0.47,
20210807-E-H1_O1,20210807-E-H1,7-Aug-21,East,Hydric,1,E-H1,O1,5.5,4.0,5.0,7.0,5.4,1.4,42.4,41.0,8.37,6.97,0.07,83.0,4.88,
20210807-E-H1_O2,20210807-E-H1,7-Aug-21,East,Hydric,1,E-H1,O2,8.0,8.5,7.5,7.0,7.8,1.4,133.7,132.3,36.89,35.49,0.23,73.2,2.73,
20210807-E-H1_M,20210807-E-H1,7-Aug-21,East,Hydric,1,E-H1,M,7.0,7.0,8.0,7.0,7.3,1.4,185.3,183.9,115.62,114.22,0.80,37.9,0.61,
20210807-E-H2_O1,20210807-E-H2,7-Aug-21,East,Hydric,2,E-H2,O1,6.0,6.0,3.5,5.5,5.3,1.4,7.2,5.8,,,,,,
20210807-E-H2_O2,20210807-E-H2,7-Aug-21,East,Hydric,2,E-H2,O2,7.5,7.0,7.0,5.5,6.8,1.4,43.8,42.4,,,,,,
20210807-E-H2_O 3,20210807-E-H2,7-Aug-21,East,Hydric,2,E-H2,O3,7.0,9.5,10.0,9.0,8.9,1.4,120.3,118.9,,,,,,
20210807-E-H3_O1,20210807-E-H3,7-Aug-21,East,Hydric,3,E-H3,O1,8.0,7.0,6.0,6.5,6.9,1.4,83.0,81.6,,,,,,
20210807-E-H3_O2,20210807-E-H3,7-Aug-21,East,Hydric,3,E-H3,O2,7.5,8.0,9.0,9.5,8.5,1.4,103.6,102.2,,,,,,
20210807-W-D1_O1,20210807-W-D1,7-Aug-21,West,Dry,1,W-D1,O1,8.0,8.0,6.0,7.0,7.3,1.4,51.0,49.6,,,,,,
20210807-W-D1_O2,20210807-W-D1,7-Aug-21,West,Dry,1,W-D1,O2,12.5,13.0,13.0,13.5,13.0,1.4,200.7,199.3,,,,,,
20210807-W-D2_O1,20210807-W-D2,7-Aug-21,West,Dry,2,W-D2,O1,9.0,8.5,9.5,9.5,9.1,1.4,48.4,47.0,,,,,,
20210807-W-D2_O2,20210807-W-D2,7-Aug-21,West,Dry,2,W-D2,O2,10.5,10.5,10.0,10.0,10.3,1.4,164.6,163.2,,,,,,
20210807-W-D3_O1,20210807-W-D3,7-Aug-21,West,Dry,3,W-D3,O1,9.0,8.5,7.5,8.5,8.4,1.4,35.6,34.2,,,,,,
20210807-W-D3_O2,20210807-W-D3,7-Aug-21,West,Dry,3,W-D3,O2,12.5,13.0,12.5,14.5,13.1,1.4,199.6,198.2,,,,,,
20210807-W-M1_O1,20210807-W-M1,7-Aug-21,West,Mesic,1,W-M1,O1,9.0,11.0,11.0,9.0,10.0,1.4,48.3,46.9,,,,,,
20210807-W-M1_O2,20210807-W-M1,7-Aug-21,West,Mesic,1,W-M1,O2,7.0,7.0,6.5,5.0,6.4,1.4,57.7,56.3,,,,,,
20210807-W-M2_O1,20210807-W-M2,7-Aug-21,West,Mesic,2,W-M2,O1,9.5,9.5,10.0,9.0,9.5,1.4,71.7,70.3,13.15,11.75,0.06,83.3,,
20210807-W-M2_O2,20210807-W-M2,7-Aug-21,West,Mesic,2,W-M2,O2,9.5,10.5,9.0,8.0,9.3,1.4,126.1,124.7,34.12,32.72,0.18,73.8,2.81,
20210807-W-M2_M,20210807-W-M2,7-Aug-21,West,Mesic,2,W-M2,M,3.5,3.0,3.0,3.5,3.3,1.4,88.1,86.7,55.15,53.75,0.84,38.0,0.61,
20210807-W-M3_O1,20210807-W-M3,7-Aug-21,West,Mesic,3,W-M3,O1,9.5,10.0,9.0,8.5,9.3,1.4,65.1,63.7,,,,,,
20210807-W-M3_O2,20210807-W-M3,7-Aug-21,West,Mesic,3,W-M3,O2,10.0,10.5,11.0,10.0,10.4,1.4,143.4,142.0,,,,,,
20210807-W-H1_O1,20210807-W-H1,7-Aug-21,West,Hydric,1,W-H1,O1,8.5,8.5,9.0,8.5,8.6,1.4,111.5,110.1,27.16,25.76,0.15,76.6,3.27,
20210807-W-H1_O2,20210807-W-H1,7-Aug-21,West,Hydric,1,W-H1,O2,8.5,9.5,7.0,8.0,8.3,1.4,123.4,122.0,,,,,,
20210807-W-H2_O1,20210807-W-H2,7-Aug-21,West,Hydric,2,W-H2,O1,9.5,10.5,12.0,12.5,11.1,1.4,138.9,137.5,41.10,39.70,0.18,71.1,2.46,
20210807-W-H2_O2,20210807-W-H2,7-Aug-21,West,Hydric,2,W-H2,O2,8.0,9.5,9.0,9.0,8.9,1.4,126.5,125.1,27.97,26.57,0.15,78.8,3.71,
20210807-W-H3_O1,20210807-W-H3,7-Aug-21,West,Hydric,3,W-H3,O1,9.0,10.0,10.0,10.0,9.8,1.4,131.9,130.5,,,,,,
20210807-W-H3_O2,20210807-W-H3,7-Aug-21,West,Hydric,3,W-H3,O2,8.0,8.0,8.5,8.5,8.3,1.4,115.0,113.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
